fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Insertion,you5tube.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,youtubge.com,,,,ns1.googledomains.com,,,,
Insertion,yoyutube.com,185.53.178.23,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,yoiutube.com,172.98.192.36,,,ns1.rentondc.com,,,,
Insertion,yolutube.com,103.224.182.241,,park-mx.above.com,ns2.above.com,,,,
Insertion,yout7ube.com,,,,,,,,
Insertion,youtjube.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Insertion,youtzube.com,185.53.179.7,,,ns1.parkingcrew.net,,,,
Insertion,youtuhbe.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,yloutube.com,184.168.131.241,,smtp.secureserver.net,ns13.domaincontrol.com,,,,
Insertion,youtgube.com,,,,dns1.registrar-servers.com,,,,
Insertion,youtubne.com,184.106.55.59,,mx1.emailsrvr.com,dns1.stabletransit.com,,,,
Insertion,youftube.com,103.224.182.240,,park-mx.above.com,ns2.above.com,,,,
Insertion,yo9utube.com,209.15.13.134,,mail.b-io.co,ns1.dnslink.com,,,,
Insertion,you8tube.com,54.235.212.68,,mail.you8tube.com,ns1.pql.net,,,,
Insertion,youtrube.com,34.196.13.28,,mail.happyisp.com,ns1.pql.net,,,,
Insertion,yokutube.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Insertion,youtubhe.com,,,,ns1.googledomains.com,,,,
Insertion,youtu8be.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Insertion,yozutube.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,youztube.com,74.208.64.244,,aspmx.l.google.com,ns1.monikerdns.net,,,,
Insertion,youthube.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Insertion,youtiube.com,192.184.12.62,,park-mx.above.com,ns2.above.com,,,,
Insertion,yo0utube.com,54.235.212.68,,mail.yo0utube.com,ns1.pql.net,,,,
Insertion,youtyube.com,185.53.178.22,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,youtu7be.com,209.15.13.134,,mail.b-io.co,ns1.dnslink.com,,,,
Insertion,youtugbe.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,y0outube.com,185.53.179.24,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,ykoutube.com,172.98.192.36,,,ns1.rentondc.com,,,,
Insertion,youjtube.com,,,,dns1.registrar-servers.com,,,,
Insertion,youtuzbe.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Insertion,yout6ube.com,34.196.13.28,,mail.happyisp.com,ns1.pql.net,,,,
Insertion,yout5ube.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,yoputube.com,209.126.123.11,,,ns1.torresdns.com,,,,
Insertion,youhtube.com,,,,ns1.googledomains.com,,,,
Insertion,youtfube.com,46.166.182.112,,mail.h-email.net,ns1.dnsnuts.com,,,,
Insertion,youtunbe.com,151.106.5.174,,,ns1.redmonddc.com,,,,
Insertion,yout8ube.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Insertion,yo7utube.com,192.195.77.23,2607:f1c0:1000:80bd:5aeb:16b6:ebdc:d01e,mx00.1and1.com,ns-us.1and1-dns.com,,,,
Insertion,yojutube.com,37.48.65.136,,,ns1.wombatdns.com,,,,
Insertion,yourtube.com,64.13.232.118,,mail.yourtube.com,ns1.mediatemple.net,,,,
Insertion,y9outube.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Insertion,youtuvbe.com,,,,dns1.registrar-servers.com,,,,
Insertion,yo8utube.com,93.115.28.104,,,ns1.rentondc.com,,,,
Insertion,youitube.com,,,,ns1.googledomains.com,,,,
Insertion,yioutube.com,207.174.213.34,,,info267476.mercury.orderbox-dns.com,,,,
Insertion,ypoutube.com,192.64.147.150,,mail.b-io.co,ns3.epik.com,,,,
Omission,yutube.com,,,,ns1.googledomains.com,,,,
Omission,youtbe.com,,,,ns1.googledomains.com,,,,
Omission,yotube.com,46.17.101.39,,,ns1.panamans.com,,,,
Omission,youtub.com,,,,ns1.googledomains.com,,,,
Omission,youube.com,,,,ns1.googledomains.com,,,,
Omission,youtue.com,,,,ns1.googledomains.com,,,,
Omission,outube.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Repetition,yooutube.com,,,,ns1.googledomains.com,,,,
